"Rec. num","1. Basic fuel injection pulse width (ms)","2. Coolant temperature (??C)","3. Engine Load (%)","4. Engine speed (RPM)","5. Front oxygen voltage signal (V)","6. Ignition advance angle (Grad kw)","7. Intake air manifold pressure (Kpa)","8. Vehicle speed (km/h)",
1,2.58,88,19.22,784.25,0.755,5.0,30,0,
2,2.58,89,19.61,790.00,0.600,5.5,31,0,
3,2.94,88,19.61,793.50,0.125,10.5,31,0,
4,4.32,88,21.96,845.25,0.770,10.5,35,0,
5,5.45,88,33.33,817.25,0.825,20.5,55,0,
6,4.55,88,42.35,1154.50,0.085,-4.5,49,1,
7,4.70,88,34.51,1193.25,0.070,30.0,47,2,
8,4.23,88,34.90,1390.25,0.125,-3.0,46,4,
9,4.03,88,30.59,1157.25,0.735,-6.0,42,5,
10,4.43,88,30.20,1076.75,0.070,29.0,41,6,
11,4.43,88,37.25,1361.50,0.100,31.0,48,7,
12,4.14,88,37.25,1379.25,0.110,-4.5,46,9,
13,3.66,89,30.20,1215.75,0.110,29.0,39,11,
14,3.85,88,31.37,1278.25,0.330,-5.0,41,12,
15,4.03,89,28.24,1194.00,0.095,-7.5,38,12,
16,3.54,89,29.80,1188.75,0.790,-5.0,38,12,
17,3.54,89,26.67,1226.00,0.155,31.5,39,12,
18,3.27,89,26.67,1192.50,0.665,-4.5,35,14,
19,3.27,89,25.49,1216.50,0.715,-5.0,34,13,
20,3.51,89,25.10,1194.75,0.400,28.0,34,12,
21,3.89,89,32.94,1351.00,0.090,38.0,42,13,
22,4.32,89,34.90,1411.75,0.105,32.5,45,13,
23,4.33,89,36.86,1372.25,0.115,32.5,46,14,
24,3.59,89,32.94,1379.25,0.805,-4.5,41,16,
25,3.30,89,26.67,1293.75,0.825,-4.5,34,16,
26,3.16,89,25.10,1278.25,0.830,-4.5,33,15,
27,3.19,88,24.71,1241.75,0.820,-4.5,32,14,
28,3.52,89,24.71,1201.50,0.765,-4.0,41,16,
29,3.16,89,27.84,1296.25,0.775,-4.0,35,17,
30,2.99,89,25.10,1314.00,0.825,-4.5,32,16,
31,3.49,89,24.31,1285.00,0.805,-4.0,32,15,
32,3.17,89,26.27,1067.25,0.820,-7.0,36,10,
33,3.22,89,25.49,1095.25,0.745,-2.5,35,9,
34,3.66,89,25.49,1028.75,0.130,0.5,36,8,
35,2.93,89,28.63,1022.75,0.775,17.5,40,8,
36,3.97,89,28.63,1370.25,0.125,29.5,40,8,
37,3.57,89,32.16,1330.50,0.105,-2.0,40,11,
38,3.19,89,26.67,1177.00,0.805,-7.5,35,12,
39,3.36,89,24.71,1104.00,0.820,-4.5,35,11,
40,3.27,89,25.88,1074.25,0.810,-7.5,36,10,
41,3.25,89,25.10,1089.00,0.805,-4.5,35,9,
42,3.25,89,26.27,1069.00,0.830,24.0,38,8,
43,2.79,89,28.24,1361.50,0.080,33.0,35,8,
44,4.01,89,25.10,1440.25,0.735,-1.5,33,8,
45,3.54,89,28.24,1145.50,0.795,26.5,38,8,
46,3.78,89,32.55,1351.00,0.135,-2.5,42,8,
47,2.76,89,27.45,1183.50,0.735,31.0,36,9,
48,3.19,89,23.92,1253.25,0.650,-7.0,33,10,
49,3.75,89,27.45,1325.75,0.770,31.5,39,10,
50,3.48,89,29.02,1391.25,0.755,-3.0,38,11,
51,3.20,89,26.27,1155.75,0.805,-6.5,34,11,
52,3.77,89,25.49,1083.50,0.090,31.0,37,11,
53,3.27,89,27.45,1451.00,0.755,-7.5,35,10,
54,3.39,89,25.49,1125.25,0.785,-2.0,36,9,
55,4.03,89,25.88,1059.50,0.795,-0.5,37,8,
56,3.69,89,29.02,1061.75,0.800,-3.0,40,8,
57,4.27,89,28.63,1028.75,0.085,2.5,41,8,
58,3.72,89,30.98,1195.50,0.120,-4.5,40,8,
59,3.63,89,29.41,1080.25,0.785,-2.5,41,8,
60,4.20,89,33.73,1286.00,0.805,28.5,47,8,
61,3.40,89,32.55,1287.50,0.110,-6.0,41,9,
62,3.33,89,25.88,1287.50,0.090,-6.5,33,10,
63,4.49,89,25.88,1158.50,0.340,28.0,37,10,
64,4.00,89,37.65,1523.75,0.095,-4.0,45,11,
65,3.27,89,29.02,1202.25,0.745,-3.5,36,12,
66,3.92,89,25.10,1149.00,0.110,3.0,34,13,
67,3.31,89,29.41,1224.25,0.655,-4.0,37,12,
68,3.66,89,25.88,1131.25,0.085,24.0,35,11,
69,3.68,89,29.41,1300.75,0.090,2.5,38,11,
70,3.28,89,28.63,1232.25,0.750,-7.5,37,11,
71,3.17,89,25.88,1136.75,0.775,-7.5,35,10,
72,3.78,90,25.49,1069.50,0.765,18.5,36,8,
73,4.29,90,34.90,1409.50,0.130,34.5,45,8,
74,3.68,90,35.29,1365.50,0.095,-2.0,42,10,
75,3.22,90,27.45,1189.50,0.780,-5.0,36,11,
76,3.02,90,25.10,1120.75,0.820,-3.0,35,11,
77,4.10,90,27.06,1293.75,0.765,31.5,40,10,
78,3.56,90,34.12,1526.00,0.090,18.5,42,11,
79,3.16,90,28.24,1203.00,0.785,24.5,37,12,
80,3.48,90,29.41,1224.25,0.090,34.0,39,13,
81,3.40,90,27.45,1233.00,0.770,-5.0,36,14,
82,3.80,90,25.10,1177.75,0.095,26.0,36,13,
83,4.07,90,32.16,1237.75,0.475,32.5,43,13,
84,3.59,90,33.73,1289.25,0.105,-4.5,41,14,
85,3.23,90,26.67,1245.00,0.815,-4.5,35,14,
86,3.57,90,26.27,1268.00,0.095,29.0,37,14,
87,4.70,90,29.41,1257.25,0.095,29.5,39,14,
88,4.03,90,38.43,1337.00,0.800,28.5,51,14,
89,3.17,89,29.41,1413.75,0.835,-4.0,36,19,
90,3.83,89,29.41,1348.25,0.680,35.5,40,20,
91,3.23,89,30.20,1424.25,0.840,-4.0,37,20,
