"Rec. num","1. Basic fuel injection pulse width (ms)","2. Coolant temperature (??C)","3. Engine Load (%)","4. Engine speed (RPM)","5. Front oxygen voltage signal (V)","6. Ignition advance angle (Grad kw)","7. Intake air manifold pressure (Kpa)","8. Vehicle speed (km/h)",
92,3.85,89,25.10,1365.50,0.825,30.5,33,20,
93,3.28,89,33.33,1445.75,0.765,-4.0,39,20,
94,2.93,89,25.88,1360.50,0.840,-4.0,33,20,
95,2.69,89,23.53,1339.75,0.820,-4.0,30,19,
96,2.72,89,22.35,1284.25,0.820,-4.5,29,17,
97,3.62,89,22.35,1244.25,0.830,-6.0,35,11,
98,3.28,89,27.06,1165.00,0.790,-2.5,35,10,
99,3.13,89,25.49,1089.00,0.790,-2.0,36,9,
100,5.25,89,33.73,1181.50,0.865,25.5,51,8,
101,3.89,89,42.35,1352.00,0.085,32.0,49,9,
102,4.91,89,34.51,1368.25,0.095,28.5,44,10,
103,8.79,88,43.92,1402.25,0.865,19.0,62,11,
104,4.88,88,67.45,1469.00,0.085,20.5,76,14,
105,3.17,88,34.51,1491.75,0.755,-4.0,39,18,
106,2.90,88,25.49,1349.25,0.835,-3.5,33,17,
107,3.92,88,23.53,1333.25,0.755,28.0,35,16,
108,2.96,88,29.80,1327.75,0.810,7.0,37,16,
109,9.11,88,62.75,1576.25,0.265,16.5,75,19,
110,9.58,88,73.73,1669.50,0.800,14.0,88,23,
111,8.39,88,80.39,1837.25,0.730,14.5,89,27,
112,8.12,88,65.10,1823.25,0.125,20.5,74,31,
113,10.07,88,70.98,1772.75,0.765,14.0,87,34,
114,2.98,88,83.53,1856.75,0.150,13.5,92,38,
115,2.94,88,28.24,1865.75,0.130,8.5,40,44,
116,0.00,88,24.71,1465.50,0.015,3.5,33,42,
117,0.00,88,27.45,1392.25,0.015,3.5,35,40,
118,4.87,88,27.84,1357.75,0.015,12.5,36,36,
119,8.64,88,54.12,1415.75,0.895,15.5,75,35,
120,7.14,88,67.06,1486.00,0.080,27.5,70,38,
121,3.75,87,58.43,1509.25,0.085,12.5,57,41,
122,4.56,87,44.71,1470.00,0.850,11.5,70,43,
123,3.23,87,30.98,1456.75,0.845,-4.0,36,45,
124,2.72,86,25.10,1325.00,0.870,-3.5,32,43,
125,2.73,86,22.35,1354.00,0.865,0.5,29,37,
126,2.64,86,21.57,1368.25,0.875,0.0,28,33,
127,2.35,86,21.57,1368.25,0.875,1.5,27,30,
128,10.51,86,28.24,1395.25,0.900,17.0,56,29,
129,11.02,86,81.18,1502.25,0.710,11.0,91,30,
130,10.07,86,86.67,1751.75,0.135,12.5,93,34,
131,8.74,85,78.43,2119.00,0.660,16.5,88,44,
132,8.65,85,68.24,2053.25,0.660,20.0,79,47,
133,7.66,85,67.45,1985.50,0.180,22.5,78,50,
134,11.47,85,70.20,1889.75,0.135,13.5,95,56,
135,6.30,84,86.67,2242.75,0.090,22.0,87,58,
136,2.27,84,39.22,2157.25,0.885,9.5,38,60,
137,0.00,84,16.86,1862.25,0.045,3.5,23,60,
138,0.00,84,18.82,1679.75,0.015,3.5,25,59,
139,0.00,84,22.75,1500.00,0.015,3.5,30,56,
140,0.00,84,26.27,1398.25,0.015,3.5,34,50,
141,8.07,84,27.06,1350.00,0.025,3.5,35,42,
142,8.71,83,66.67,1439.25,0.850,14.0,80,33,
143,7.37,83,69.41,1513.00,0.085,17.0,78,35,
144,9.09,83,65.88,1557.00,0.095,16.0,78,37,
145,5.22,83,69.80,1612.00,0.485,21.0,79,39,
146,0.00,83,34.12,1521.25,0.885,7.0,35,41,
147,0.00,83,26.27,1369.25,0.015,4.0,34,40,
148,8.22,83,27.45,1363.50,0.855,22.5,40,39,
149,10.35,83,64.71,1431.75,0.845,11.5,84,39,
150,12.09,82,83.53,1532.25,0.800,8.0,94,40,
151,12.09,82,96.08,1797.75,0.745,11.0,98,43,
152,11.95,82,93.33,2062.25,0.145,13.0,97,46,
153,12.30,82,90.20,2277.50,0.790,15.0,94,50,
154,12.91,82,89.80,2467.75,0.435,15.5,95,54,
155,7.19,82,99.22,2692.75,0.820,16.5,100,58,
156,2.70,82,43.14,2869.75,0.860,27.5,32,62,
157,4.78,82,27.45,2367.25,0.790,32.0,41,62,
158,8.87,81,73.33,2093.75,0.485,17.5,84,65,
159,4.78,81,70.59,2036.00,0.850,28.5,80,66,
160,8.36,81,39.61,1876.75,0.090,30.5,47,67,
161,7.26,81,67.84,1818.00,0.380,21.0,80,68,
162,4.23,81,56.08,1846.00,0.085,36.0,51,69,
163,8.83,81,44.71,1643.75,0.855,21.5,64,69,
164,8.61,81,70.59,1652.25,0.740,15.0,81,69,
165,3.11,81,35.69,1646.50,0.700,39.5,41,70,
166,3.22,81,29.02,1566.00,0.755,38.0,36,70,
167,10.12,81,29.41,1547.00,0.890,14.5,47,69,
168,3.98,80,71.76,1558.25,0.140,2.0,70,69,
169,3.33,80,26.27,1549.50,0.820,29.5,29,69,
170,2.73,80,31.37,1531.00,0.815,7.0,36,69,
171,2.43,80,21.96,1509.25,0.790,4.0,27,68,
172,3.37,80,22.35,1471.25,0.015,4.0,30,67,
173,4.64,80,28.24,1488.25,0.835,31.5,39,66,
174,5.31,80,43.14,1458.75,0.120,29.5,54,65,
175,7.45,80,46.27,1461.00,0.115,27.5,55,66,
176,4.14,80,60.39,1478.00,0.090,19.0,65,66,
177,2.81,80,28.63,1465.50,0.860,-1.5,32,66,
178,2.41,81,21.96,1445.75,0.860,2.0,27,65,
179,2.37,81,20.39,1430.50,0.875,6.0,26,64,
180,2.81,81,19.61,1420.00,0.875,9.5,25,64,
181,4.81,81,37.65,1390.25,0.800,28.0,55,63,
182,2.85,81,41.18,1398.25,0.840,32.0,49,63,
183,2.72,81,22.75,1350.00,0.850,-3.5,29,61,
184,5.07,81,31.76,1338.75,0.790,23.5,50,60,
185,3.36,81,38.04,1326.75,0.820,-4.5,42,59,
186,2.79,81,24.71,1296.25,0.835,-4.5,31,58,
187,4.93,82,71.37,1305.00,0.105,23.0,76,58,
188,3.07,82,33.73,1405.50,0.845,-4.0,37,59,
189,2.50,82,23.92,1384.25,0.865,0.0,29,58,
190,2.40,82,21.18,1395.25,0.865,6.0,26,57,
191,2.40,82,20.00,1399.25,0.870,5.5,26,56,
192,2.29,82,19.61,1386.25,0.865,5.5,25,55,
193,2.30,82,19.22,1376.25,0.855,5.5,25,54,
194,2.27,82,19.22,1348.25,0.855,5.5,25,51,
195,2.26,82,19.22,1348.25,0.850,5.5,25,47,
196,2.26,82,19.22,1354.75,0.835,5.5,25,42,
197,2.23,82,19.22,1366.50,0.835,5.5,25,37,
198,2.35,82,19.22,1344.50,0.825,5.0,25,30,
199,2.46,82,20.39,1280.75,0.795,-4.5,27,22,
200,2.79,82,20.39,1210.50,0.470,-7.0,27,16,
201,8.18,82,35.69,1304.25,0.830,23.0,57,11,
202,6.62,82,59.22,1509.25,0.100,21.5,68,12,
203,9.54,82,55.69,1409.50,0.120,14.0,85,20,
204,9.77,82,75.29,1791.00,0.095,15.0,85,25,
205,9.74,83,76.86,1835.50,0.105,15.0,86,30,
206,7.54,83,76.86,1828.50,0.120,18.0,85,34,
207,6.67,83,54.12,1756.50,0.640,33.0,58,36,
208,9.31,83,60.39,1681.25,0.790,15.0,79,38,
209,9.35,83,73.33,1743.75,0.215,15.0,84,40,
210,4.67,83,73.33,1769.50,0.140,26.5,79,43,
211,7.72,83,40.78,1668.00,0.840,19.5,64,45,
212,5.37,83,61.57,1681.25,0.135,32.0,65,49,
213,7.23,83,51.37,1645.00,0.760,23.0,64,50,
214,7.16,83,58.43,1613.25,0.160,23.0,67,51,
215,10.83,83,44.71,1600.00,0.780,35.5,48,52,
216,9.69,83,81.96,1685.50,0.710,13.5,89,55,
217,1.80,83,81.96,1802.75,0.345,15.0,95,60,
218,0.00,83,15.69,1923.75,0.015,3.5,23,63,
219,10.70,83,18.43,1705.00,0.870,26.5,30,62,
220,3.81,83,72.55,1660.75,0.095,13.5,65,62,
221,0.00,83,25.88,1589.25,0.015,4.0,28,62,
222,0.00,83,25.88,1393.25,0.015,4.0,33,59,
223,0.00,83,26.27,1381.25,0.015,4.0,33,58,
224,14.05,83,26.27,1383.25,0.475,26.5,37,57,
225,13.06,83,85.49,1466.75,0.850,6.5,95,57,
226,7.13,83,98.04,1791.00,0.825,13.5,97,58,
227,8.93,83,54.90,1983.25,0.825,16.5,77,60,
228,2.73,83,57.25,1961.00,0.815,4.5,49,62,
229,2.78,83,23.53,1756.50,0.105,19.0,33,63,
230,2.38,83,20.78,1588.00,0.775,3.5,24,63,
231,0.00,83,21.57,1482.50,0.015,3.5,29,62,
232,2.96,83,26.27,1379.25,0.840,-4.0,32,60,
233,2.64,83,23.14,1357.75,0.840,-2.0,29,59,
234,2.55,83,21.18,1367.50,0.855,0.5,27,58,
235,2.50,83,20.39,1370.25,0.860,5.5,26,57,
236,2.47,83,20.00,1376.25,0.860,5.5,26,56,
237,2.43,83,20.00,1374.25,0.850,5.5,26,55,
238,2.38,83,19.61,1360.50,0.845,5.5,26,54,
239,2.35,83,19.61,1340.75,0.845,5.5,25,51,
240,2.33,83,19.61,1360.50,0.835,5.5,25,48,
241,2.29,83,19.61,1358.75,0.835,5.5,25,46,
242,2.26,83,19.22,1354.00,0.835,5.5,25,44,
243,2.29,83,19.22,1345.25,0.820,5.5,25,43,
244,2.26,83,19.22,1325.00,0.810,5.5,25,42,
245,3.81,83,19.22,1389.25,0.805,25.5,25,40,
246,5.08,83,46.67,1396.25,0.815,24.0,67,40,
247,3.43,83,40.78,1425.25,0.785,32.5,43,40,
248,6.29,83,32.94,1396.25,0.405,30.0,42,40,
249,3.62,83,46.27,1423.25,0.310,-3.5,50,40,
250,2.72,83,25.88,1375.25,0.840,-4.0,31,39,
251,2.43,83,22.35,1372.25,0.840,-0.5,28,38,
252,2.35,83,19.61,1359.75,0.855,5.5,25,36,
253,5.94,83,19.22,1361.50,0.835,23.0,57,34,
254,3.19,83,38.82,1414.75,0.820,-4.0,41,34,
255,2.75,83,23.92,1355.75,0.835,-4.0,30,34,
256,2.53,83,21.57,1352.00,0.840,-1.5,27,32,
257,2.46,83,20.00,1345.25,0.845,5.5,26,30,
258,2.37,83,20.00,1329.50,0.845,5.5,26,26,
259,2.40,83,19.61,1325.75,0.830,5.5,26,22,
260,2.99,83,20.39,1301.50,0.805,0.5,27,12,
261,3.04,83,23.53,1044.00,0.805,-4.5,33,9,
262,3.17,83,23.92,1003.00,0.595,5.5,34,8,
263,3.14,83,25.10,934.75,0.685,5.5,36,7,
264,3.30,83,25.10,921.50,0.215,7.0,37,5,
265,3.46,83,26.67,861.25,0.585,9.5,39,3,
266,3.39,83,27.84,793.50,0.760,8.0,41,1,
267,3.52,83,28.24,775.00,0.735,4.0,41,0,
268,3.51,83,28.24,805.25,0.100,4.5,41,0,
269,3.52,84,28.24,802.50,0.100,4.5,40,0,
270,3.59,84,27.84,823.50,0.105,6.0,40,0,
271,3.60,84,28.24,834.00,0.085,7.5,40,0,
272,3.51,84,29.80,835.50,0.070,4.5,42,0,
273,3.52,84,29.41,819.25,0.070,4.5,42,0,
274,3.45,84,29.41,820.00,0.070,3.5,42,0,
275,3.54,84,29.41,808.25,0.070,4.5,42,0,
276,3.89,84,29.80,821.50,0.070,3.5,42,0,
277,3.63,84,29.02,853.50,0.685,2.0,40,0,
278,3.62,84,27.84,834.25,0.675,1.5,40,0,
279,3.63,84,28.24,831.50,0.495,3.0,40,0,
280,3.63,84,28.24,836.75,0.615,3.0,40,0,
281,3.62,84,28.24,833.25,0.655,0.5,40,0,
282,3.63,84,28.24,837.25,0.660,2.5,40,0,
283,3.65,84,28.24,835.00,0.620,2.5,40,0,
284,3.65,84,28.24,843.75,0.620,2.5,40,0,
285,3.63,84,28.24,842.00,0.470,2.5,40,0,
286,3.62,84,28.24,841.50,0.600,2.0,40,0,
287,3.91,84,28.24,837.25,0.670,4.5,40,0,
288,12.65,84,40.39,955.50,0.860,13.5,67,0,
289,4.94,84,96.08,1534.75,0.535,19.5,98,5,
290,8.00,84,36.08,1609.25,0.830,23.0,61,11,
291,9.37,84,69.02,1792.50,0.130,14.5,83,15,
292,11.54,84,71.37,1755.00,0.730,12.5,84,20,
293,12.79,84,92.94,1925.75,0.250,12.0,97,25,
294,13.38,84,96.86,2347.00,0.145,14.5,99,32,
295,12.60,84,98.43,2692.75,0.775,17.0,99,38,
296,9.99,84,59.61,2758.50,0.745,16.0,85,47,
297,8.35,84,84.31,2285.50,0.185,16.5,92,51,
298,9.16,84,39.61,2214.50,0.075,29.0,38,53,
299,10.71,84,73.73,2025.25,0.775,15.0,87,55,
300,4.36,84,81.96,2080.00,0.740,27.0,88,59,
301,3.78,84,49.02,1694.50,0.095,2.0,59,59,
302,2.41,84,26.67,1582.75,0.510,4.0,30,59,
303,0.00,84,22.75,1460.00,0.040,4.0,29,58,
304,11.37,84,28.63,1409.50,0.885,18.5,45,57,
305,10.99,84,84.31,1455.50,0.670,11.0,91,57,
306,10.45,84,86.27,1699.00,0.595,11.5,92,58,
307,10.06,84,84.71,1875.00,0.285,14.0,91,60,
308,4.79,84,76.08,1983.25,0.775,25.5,83,62,
309,2.49,84,31.76,1835.50,0.820,9.0,33,63,
310,2.84,84,27.84,1699.00,0.335,8.0,36,63,
311,2.70,84,23.14,1537.00,0.795,3.5,28,62,
312,0.00,84,25.49,1424.25,0.015,3.5,34,61,
313,0.00,84,28.63,1405.50,0.010,3.5,36,60,
314,0.00,84,29.41,1381.25,0.010,3.5,37,59,
315,0.00,84,29.41,1379.25,0.010,3.5,37,56,
316,2.94,84,29.02,1368.25,0.040,24.5,37,54,
317,2.76,84,23.92,1355.75,0.815,-1.0,30,52,
318,2.67,84,23.14,1365.50,0.820,25.0,29,51,
319,5.16,84,28.24,1366.50,0.810,28.0,41,51,
320,6.61,84,47.84,1384.25,0.790,24.0,60,51,
321,3.92,83,46.67,1388.25,0.740,-4.0,51,51,
322,3.22,83,29.41,1356.75,0.805,-4.0,35,51,
323,2.84,83,25.10,1358.75,0.805,-0.5,31,50,
324,2.70,83,23.14,1368.25,0.825,0.5,29,49,
325,4.64,83,22.35,1362.50,0.805,30.5,28,48,
326,4.56,83,42.75,1382.25,0.245,29.5,52,47,
327,3.13,83,32.94,1369.25,0.800,-4.0,38,48,
328,2.75,83,25.10,1359.75,0.780,-4.0,31,47,
329,2.47,83,22.35,1361.50,0.820,0.0,28,46,
330,2.46,83,21.18,1359.75,0.825,0.0,27,45,
331,4.39,83,29.02,1373.25,0.770,25.5,45,44,
332,3.08,83,32.55,1369.25,0.760,-4.0,37,44,
333,8.03,83,24.71,1346.25,0.760,24.0,34,43,
334,5.16,83,60.78,1414.75,0.300,25.0,70,43,
335,3.11,83,36.08,1396.25,0.800,-4.0,39,44,
336,2.50,83,24.71,1372.25,0.825,-2.5,31,44,
337,2.46,83,21.57,1371.25,0.830,0.5,27,43,
338,2.35,83,20.78,1373.25,0.835,1.5,27,42,
339,3.62,83,20.39,1370.25,0.810,29.5,29,42,
340,5.58,83,32.55,1402.25,0.640,27.0,43,41,
341,4.14,83,47.84,1441.25,0.085,31.5,54,42,
342,3.04,83,32.94,1443.50,0.800,-4.0,36,42,
343,2.69,83,24.31,1369.25,0.810,-2.0,31,42,
344,2.70,83,21.57,1377.25,0.835,9.0,27,41,
345,4.47,83,31.37,1380.25,0.805,31.5,45,40,
346,4.20,83,38.43,1433.75,0.400,33.0,47,41,
347,3.68,83,36.47,1441.25,0.120,36.0,43,41,
348,4.46,83,32.16,1421.00,0.110,30.5,40,41,
349,6.76,83,39.61,1450.00,0.435,28.0,50,41,
350,3.25,83,56.47,1480.25,0.130,22.0,66,42,
351,3.59,83,29.02,1425.25,0.710,32.5,36,45,
352,5.04,83,34.51,1409.50,0.750,25.5,48,45,
353,3.75,83,44.71,1427.50,0.730,28.0,54,45,
354,3.02,83,28.24,1373.25,0.845,-4.0,34,46,
355,2.49,83,23.53,1373.25,0.845,-1.0,29,45,
356,4.07,83,21.18,1375.25,0.850,27.0,27,44,
357,3.40,83,37.25,1394.25,0.795,-4.0,46,44,
358,2.75,83,26.67,1349.25,0.795,-4.0,32,43,
359,6.35,83,23.14,1358.75,0.810,29.5,32,43,
360,6.13,83,52.16,1415.75,0.785,24.0,62,43,
361,5.36,83,53.33,1425.25,0.715,26.5,42,46,
362,5.29,83,46.67,1425.25,0.630,27.0,56,47,
363,4.85,83,48.24,1429.50,0.120,29.0,56,47,
364,3.89,83,40.78,1431.75,0.750,33.0,47,48,
365,6.71,83,37.25,1434.75,0.780,27.5,47,49,
366,5.28,83,56.86,1434.75,0.420,25.0,65,49,
367,3.74,83,41.57,1425.25,0.695,34.0,46,49,
368,4.30,83,33.33,1427.50,0.120,31.5,40,50,
369,6.00,83,43.53,1443.50,0.815,25.5,57,50,
370,4.09,83,51.37,1439.25,0.130,30.5,56,50,
371,3.16,83,34.51,1437.00,0.740,14.0,41,51,
372,2.75,83,25.49,1391.25,0.835,-4.0,31,50,
373,2.50,83,23.14,1370.25,0.850,0.0,28,49,
374,3.78,83,21.18,1383.25,0.835,32.0,32,49,
375,3.02,83,30.20,1397.25,0.830,-4.0,35,48,
376,6.30,83,24.31,1350.00,0.810,29.5,30,47,
377,8.33,83,62.75,1421.00,0.820,14.5,75,47,
378,7.97,83,67.84,1469.00,0.140,15.0,77,49,
379,4.58,83,60.39,1505.75,0.755,27.5,61,50,
380,8.16,83,38.04,1476.75,0.795,18.5,53,51,
381,7.43,83,62.35,1505.75,0.680,18.0,71,52,
382,6.41,84,63.14,1501.00,0.165,20.5,71,53,
383,3.11,84,41.96,1474.50,0.820,-3.0,41,54,
384,2.64,84,23.92,1409.50,0.865,-2.5,30,53,
385,2.43,84,21.57,1381.25,0.865,0,27,52,
386,2.27,84,20.00,1388.25,0.860,5.5,26,50,
387,2.26,84,19.61,1364.50,0.855,5.5,25,49,
388,7.03,84,19.61,1363.50,0.840,25.5,30,48,
389,5.63,84,55.69,1404.50,0.790,22.5,65,48,
390,4.67,83,48.24,1393.25,0.100,28.5,57,49,
391,4.64,83,39.61,1397.25,0.195,31.0,48,49,
392,2.93,83,36.86,1406.50,0.830,9.5,41,49,
393,2.90,83,26.27,1384.25,0.110,33.0,33,49,
394,3.13,83,26.27,1389.25,0.110,33.0,34,49,
395,2.82,83,25.10,1362.50,0.835,-4.0,31,48,
396,3.22,83,25.88,1403.50,0.835,24.0,28,46,
397,4.39,83,29.80,1389.25,0.765,30.5,39,45,
398,11.20,83,47.06,1384.25,0.845,15.0,65,45,
399,10.83,83,83.53,1460.00,0.115,10.5,91,46,
400,6.65,83,86.27,1675.25,0.455,11.5,92,48,
401,10.32,83,58.04,1688.50,0.735,15.5,73,52,
402,10.94,83,79.22,1708.00,0.195,14.0,87,53,
403,10.80,83,85.10,1933.50,0.190,14.0,91,55,
404,10.21,84,83.14,2025.25,0.085,15.5,89,56,
405,8.58,84,73.33,2082.25,0.165,20.0,79,57,
406,4.99,84,69.02,2018.75,0.795,24.0,81,59,
407,2.12,84,33.33,1830.25,0.865,9.0,33,59,
408,4.58,84,18.43,1650.75,0.765,29.5,22,58,
409,9.99,84,56.47,1577.50,0.855,13.0,81,57,
410,8.03,84,78.43,1655.00,0.100,16.0,84,58,
411,5.77,84,58.82,1678.25,0.230,25.0,65,59,
412,8.19,84,47.45,1594.50,0.840,17.0,67,60,
413,4.21,84,25.49,1639.50,0.245,33.5,33,62,
414,8.27,84,41.57,1491.75,0.875,19.5,61,62,
415,7.42,84,66.27,1527.25,0.125,15.5,76,62,
416,4.68,84,54.90,1648.00,0.815,30.5,60,67,
417,2.52,84,30.20,1618.75,0.830,19.0,31,67,
418,2.21,84,20.78,1510.50,0.825,4.0,25,68,
419,0.00,84,20.78,1508.00,0.015,4.0,27,68,
420,0.00,84,22.35,1509.25,0.010,4.0,28,68,
421,4.15,84,22.35,1508.00,0.020,27.0,28,68,
422,5.29,84,38.04,1520.00,0.850,30.5,51,68,
423,5.22,84,43.53,1520.00,0.415,30.5,52,68,
424,4.01,84,43.92,1510.50,0.735,34.0,49,67,
425,3.98,84,34.51,1500.00,0.785,35.0,43,67,
426,2.69,84,33.73,1486.00,0.865,33.5,39,67,
427,3.34,84,21.18,1416.75,0.875,22.5,26,64,
428,6.87,83,34.51,1407.50,0.855,25.5,49,63,
429,5.11,84,54.12,1413.75,0.780,25.0,63,63,
430,4.67,83,35.69,1404.50,0.630,30.0,39,63,
431,3.54,83,41.57,1407.50,0.135,-4.0,48,63,
432,2.69,83,26.67,1371.25,0.835,-4.0,32,62,
433,2.41,83,22.75,1370.25,0.845,-1.5,28,62,
434,2.43,83,20.78,1349.25,0.845,-1.0,26,61,
435,2.43,83,20.39,1325.00,0.840,-1.0,26,60,
436,2.43,83,20.39,1312.25,0.835,-2.5,26,59,
437,5.40,83,30.98,1331.25,0.825,26.5,52,58,
438,3.75,83,40.78,1349.25,0.080,33.0,46,59,
439,2.99,83,28.63,1349.25,0.810,-4.0,34,59,
440,2.52,83,23.92,1330.50,0.825,-4.0,30,59,
441,2.41,83,21.57,1335.00,0.840,-1.0,27,59,
442,2.40,83,20.39,1352.00,0.845,5.5,26,58,
443,2.26,83,20.39,1349.25,0.845,5.5,26,58,
444,2.26,83,19.61,1340.75,0.835,5.5,25,57,
445,9.86,83,23.14,1347.25,0.855,15.5,47,57,
446,8.70,83,69.80,1403.50,0.150,13.5,79,57,
447,7.63,83,71.37,1447.75,0.095,13.5,80,58,
448,3.16,83,49.41,1470.00,0.785,-3.5,46,59,
449,2.40,83,24.71,1406.50,0.845,-2.0,30,59,
450,3.59,83,22.75,1403.50,0.820,29.0,29,58,
451,5.54,83,34.51,1419.00,0.815,29.0,48,58,
452,4.76,83,46.27,1411.75,0.130,30.0,51,58,
453,7.42,83,41.57,1412.75,0.840,22.0,58,58,
454,5.97,83,59.22,1430.50,0.685,20.0,68,59,
455,7.37,83,50.59,1408.50,0.090,24.5,57,59,
